full_address,street,number,postal_code,city,beds,baths,size,price,broker,link,image,coordinates
Ferdinand Pauwelsstraat 30 - 2180 Antwerpen - Belgium,Ferdinand Pauwelsstraat ,30,2180,Antwerpen,4,1,176,284000,https://www.immoscoop.be/immokantoor/14/sinjoor,https://www.immoscoop.be/te-koop/immo/woning/ekeren/antwerpen/418605/,https://s3-eu-west-1.amazonaws.com/immoscoop/belgie/mb14/2020-03-03/418605/121027387886283.jpeg,51.2825449-4.4241721
Oudebareellei 97 - 2170 Antwerpen - Belgium,Oudebareellei ,97,2170,Antwerpen,4,,185,265000,https://www.immoscoop.be/immokantoor/8802/dewaele,https://www.immoscoop.be/te-koop/immo/woning/merksem/antwerpen/415797/,https://s3-eu-west-1.amazonaws.com/immoscoop/belgie/mb8802/2020-02-22/415797/111452055520740.jpeg,51.24761059999999-4.457949699999999
Veldstraat 36 - 2060 Antwerpen - Belgium,Veldstraat ,36,2060,Antwerpen,4,1,140,299000,https://www.immoscoop.be/immokantoor/13/immovasta,https://www.immoscoop.be/te-koop/immo/woning/antwerpen-2060/antwerpen/412583/,https://s3-eu-west-1.amazonaws.com/immoscoop/belgie/mb13/2020-02-15/412583/137098391091198.jpeg,51.2255477-4.4315429
Schotensesteenweg 77 - 2100 Antwerpen - Belgium,Schotensesteenweg ,77,2100,Antwerpen,4,1,152,295000,https://www.immoscoop.be/immokantoor/9/goetstouwers-immobiliën,https://www.immoscoop.be/te-koop/immo/woning/deurne-2100/antwerpen/411638/,https://s3-eu-west-1.amazonaws.com/immoscoop/belgie/mb9/2020-02-11/411638/111033953902891.jpeg,51.2205992-4.4772657
IJsvogelstraat 95 - 2170 Antwerpen - Belgium,IJsvogelstraat ,95,2170,Antwerpen,4,2,162,259000,https://www.immoscoop.be/immokantoor/80/coga-vastgoedmakelaars,https://www.immoscoop.be/te-koop/immo/woning/merksem/antwerpen/409601/,https://s3-eu-west-1.amazonaws.com/immoscoop/belgie/mb80/2020-02-05/409601/128950109219520.png,51.2591203-4.4333719
Pionierstraat 25 - 2060 Antwerpen - Belgium,Pionierstraat ,25,2060,Antwerpen,4,2,130,295000,https://www.immoscoop.be/immokantoor/7415/habicom,https://www.immoscoop.be/te-koop/immo/woning/antwerpen-2000/antwerpen/407578/,https://s3-eu-west-1.amazonaws.com/immoscoop/belgie/mb7415/2020-01-30/407578/137838991542251.jpeg,51.2248041-4.4269123
Nieuwstraat 95 - 2200 Herentals - Belgium,Nieuwstraat ,95,2200,Herentals,4,2,160,269000,https://www.immoscoop.be/immokantoor/23811/era-renomar,https://www.immoscoop.be/te-koop/immo/woning/herentals/turnhout/415297/,https://s3-eu-west-1.amazonaws.com/immoscoop/belgie/mb23811/2020-03-24/415297/184014535609566.jpeg,51.179769-4.8309804
Oudesteenweg 110 - 2060 Antwerpen - Belgium,Oudesteenweg ,110,2060,Antwerpen,4,1,140,260000,https://www.immoscoop.be/immokantoor/30/at-home-en-partners,https://www.immoscoop.be/te-koop/immo/woning/antwerpen-2060/antwerpen/394780/,https://s3-eu-west-1.amazonaws.com/immoscoop/belgie/mb30/2019-12-20/394780/152378552159396.jpeg,51.2270602-4.4216773
Kortrijkstraat 80 - 2140 Antwerpen - Belgium,Kortrijkstraat ,80,2140,Antwerpen,4,2,180,264900,https://www.immoscoop.be/immokantoor/44/immo-bib,https://www.immoscoop.be/te-koop/immo/woning/borgerhout/antwerpen/389709/,https://s3-eu-west-1.amazonaws.com/immoscoop/belgie/mb44/2020-03-23/389709/192354196075606.jpeg,51.22241220000001-4.4406659
Korenbloemstraat 17 - 2340 Beerse - Belgium,Korenbloemstraat ,17,2340,Beerse,4,1,180,285000,https://www.immoscoop.be/immokantoor/17/de-boer-en-partners,https://www.immoscoop.be/te-koop/immo/woning/beerse/turnhout/386523/,https://s3-eu-west-1.amazonaws.com/immoscoop/belgie/mb17/2019-11-29/386523/137145314216379.png,51.32194-4.868825999999999
